p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0.75,0.5,23,3.441445598156415E-5,3.086725946882885E-4,0.022722031071543396
0.75,0.5,24,5.371612296142749E-5,1.136131219496378E-4,0.013874770806407076
0.75,0.5,25,6.911143254116885E-5,4.1803896506466095E-5,0.009003514962759269
0.75,0.5,26,7.55986891020075E-5,1.537987220042327E-5,0.0058379360999110475
0.75,0.5,27,7.52885636906802E-5,5.658084707850306E-6,0.003564824099498294
0.75,0.5,28,6.890656034221296E-5,2.0306969032364253E-6,0.0020210023844549527
0.75,0.5,29,5.737519145340981E-5,4.876597727256835E-7,0.0011138160174707131
0.75,0.5,30,4.6717524757699764E-5,7.551051709254534E-9,8.501688661177409E-4
0.75,0.5,31,3.6059858061989715E-5,0,5.865217147647689E-4
0.75,0.5,32,2.6855119248602715E-5,0,3.855950034472926E-4
0.75,0.5,33,1.918784052153192E-5,0,2.458861473551707E-4
0.75,0.5,34,1.3743477253997607E-5,0,1.6411795347650503E-4
0.75,0.5,35,9.564105790934164E-6,0,1.0659180568320777E-4
0.75,0.5,36,6.44187073888014E-6,0,6.74829873530766E-5
0.75,0.5,37,4.262307467755085E-6,0,4.24625009699383E-5
0.75,0.5,38,2.7846382496295163E-6,0,2.6595531192076848E-5
0.75,0.5,39,1.7836268964947468E-6,0,1.6559282970228014E-5
0.75,0.5,40,1.138885424712889E-6,0,1.0333708423408363E-5
0.75,0.5,41,7.148249507811974E-7,0,6.409555981990871E-6
0.75,0.5,42,4.4681061578427095E-7,0,3.976042400297164E-6
0.75,0.5,43,2.743615944564237E-7,0,2.4429368415675765E-6
0.75,0.5,44,1.6679050154186272E-7,0,1.4929554129838607E-6
0.75,0.5,45,9.406796315126145E-8,0,8.516727489078815E-7
0.75,0.5,46,4.9597031140184566E-8,0,4.584488270975361E-7
0.75,0.5,47,2.440893800313331E-8,0,2.333946396409593E-7
0.75,0.5,48,1.0979454128684396E-8,0,1.1108981479134544E-7
0.75,0.5,49,4.728218936586629E-9,0,5.188510463031341E-8
0.75,0.5,50,2.0489730900450455E-9,0,2.477270861013219E-8
0.75,0.5,51,9.667196288087273E-10,0,1.266032563832983E-8
0.75,0.5,52,4.700325946173275E-10,0,6.5856956175885034E-9
0.75,0.5,53,2.3763380167214163E-10,0,3.4997257151759623E-9
0.75,0.5,54,1.3050003341170048E-10,0,1.962668705666895E-9
0.75,0.5,55,7.133884015045883E-11,0,1.0919349706787575E-9
0.75,0.5,56,3.76820046459774E-11,0,5.919885029001405E-10
0.75,0.5,57,1.973495736176218E-11,0,3.193701736971265E-10
0.75,0.5,58,1.0395621525760348E-11,0,1.7350683307325602E-10
0.75,0.5,59,5.730418297612045E-12,0,9.802869922591904E-11
0.75,0.5,60,3.337234933704787E-12,0,5.79379658765515E-11
0.75,0.5,61,1.9814459100586203E-12,0,3.4779809869996904E-11
0.75,0.5,62,1.162257638353984E-12,0,2.0674820547050724E-11
0.75,0.5,63,6.598325068086114E-13,0,1.1965259147796683E-11
0.75,0.5,64,3.7202538991689583E-13,0,6.885906383571179E-12
0.75,0.5,65,2.1784217094473286E-13,0,4.09376340314624E-12
0.75,0.5,66,1.3697234004045022E-13,0,2.5885732679831125E-12
0.75,0.5,67,9.27368633330849E-14,0,1.7422795042122915E-12
0.75,0.5,68,6.439256097440953E-14,0,1.1999471088247443E-12
0.75,0.5,69,4.0134318076101576E-14,0,7.505842503056195E-13
0.75,0.5,70,2.362006212038514E-14,0,4.45618101839086E-13
0.75,0.5,71,1.2979783817484851E-14,0,2.4817604719588973E-13
0.75,0.5,72,5.616953561202697E-15,0,1.1056752078454943E-13
0.75,0.5,73,1.874882605885537E-15,0,3.928108614176397E-14
0.75,0.5,74,-4.1266758326739743E-16,0,-4.6291513062106456E-15
0.75,0.5,75,-8.042142005463007E-16,0,-1.328140646814354E-14
0.75,0.5,76,-1.0151930275990995E-15,0,-1.8094930979226554E-14
0.75,0.5,77,-7.931834724751932E-16,0,-1.457049154622227E-14
0.75,0.5,78,-5.951798954694849E-16,0,-1.1236768224430094E-14
0.75,0.5,79,-4.622466321156539E-16,0,-8.774466892944556E-15
0.75,0.5,80,-3.506090761005362E-16,0,-6.681130163380148E-15
0.75,0.5,81,-2.389715200854189E-16,0,-4.5877934338157404E-15
