% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
38.70477313574008,7.746344323515065E-10,0,5.883926813741249E-9
39.000731914069355,5.935513418101862E-10,0,4.46198895547904E-9
39.29669069239863,4.5358120348398684E-10,0,3.3818561757758567E-9
39.5926494707279,3.4562998938528903E-10,0,2.5624617046157844E-9
39.88860824905717,2.6261449727056493E-10,0,1.941370480187021E-9
40.18456702738644,1.990986819530833E-10,0,1.4713732213425945E-9
40.480525805715715,1.5073010045268347E-10,0,1.1158174803716915E-9
40.77648458404499,1.1400064114555768E-10,0,8.467585118420035E-10
41.07244336237426,8.604715285199074E-11,0,6.426871493996719E-10
41.36840214070353,6.471656048448975E-11,0,4.878569410439741E-10
41.6643609190328,4.850131320313929E-11,0,3.7033915793325183E-10
41.960319697362074,3.638339779989106E-11,0,2.813558307081373E-10
42.192787581202936,2.9174644289163194E-11,0,2.268933277172606E-10
42.38308737533454,2.439917479358879E-11,0,1.9025266628940864E-10
42.573387169466145,2.0356048846837727E-11,0,1.5949365497455167E-10
42.76368696359775,1.6888177716717647E-11,0,1.3369926450090134E-10
42.93495677831619,1.4215914563355762E-11,0,1.1410199633337805E-10
43.106226593034634,1.1960741545640196E-11,0,9.741120128249236E-11
43.27749640775308,1.0105536109918443E-11,0,8.31965818950725E-11
43.44876622247152,8.585831778996848E-12,0,7.107828344627897E-11
43.59962824480201,7.462390075122555E-12,0,6.187804237868369E-11
43.750490267132506,6.488401020190068E-12,0,5.3872415283529224E-11
43.901352289463,5.627636119165145E-12,0,4.690432701785716E-11
44.05221431179349,4.861945852260768E-12,0,4.084133044988083E-11
44.203076334123985,4.1855416991267975E-12,0,3.556750952373703E-11
44.35393835645448,3.598075454804833E-12,0,3.0958899940851895E-11
44.50480037878497,3.0962539794761196E-12,0,2.694477780651842E-11
44.655662401115464,2.670723183145259E-12,0,2.345235354309855E-11
44.79143822121291,2.343536536448296E-12,0,2.0702561801851507E-11
44.913636459300605,2.0865219981712877E-12,0,1.8508351180209915E-11
