% Model,LymphNode_2D_Model(1).mph
% Version,COMSOL 6.0.0.312
% Date,"Sep 6 2022, 13:51"
% Table,Accumulated Probe Table 2 - 
% p_diric_aff,lmda,Time (s),"Dependent variable c, Sink Flux","Dependent variable c, Source Flux","Dependent variable p (m^2), Total Concentration"
1.25,0,115.5,1.7962820368171752E-5,0,2.914619555336828E-4
1.25,0,115.60000000000001,1.784063676706252E-5,0,2.8947957903264755E-4
1.25,0,115.7,1.7719317987138273E-5,0,2.875112595049735E-4
1.25,0,115.80000000000001,1.7598864028399012E-5,0,2.855569969506612E-4
1.25,0,115.9,1.7479274890844743E-5,0,2.8361679136971037E-4
1.25,0,116,1.7360550574475442E-5,0,2.8169064276212144E-4
1.25,0,116.10000000000001,1.7242691079291095E-5,0,2.7977855112789414E-4
1.25,0,116.2,1.712569640529176E-5,0,2.778805164670277E-4
1.25,0,116.30000000000001,1.7009566552477373E-5,0,2.75996538779523E-4
1.25,0,116.4,1.6894301520848004E-5,0,2.741266180653803E-4
1.25,0,116.5,1.6779901310403587E-5,0,2.722707543245988E-4
1.25,0,116.60000000000001,1.666636592114416E-5,0,2.704289475571786E-4
1.25,0,116.7,1.6553695353069702E-5,0,2.6860119776312053E-4
1.25,0,116.80000000000001,1.6441889606180232E-5,0,2.6678750494242337E-4
1.25,0,116.9,1.6330948680475744E-5,0,2.649878690950877E-4
1.25,0,117,1.6220872575956247E-5,0,2.632022902211141E-4
1.25,0,117.10000000000001,1.6111661292621715E-5,0,2.6143076832050145E-4
1.25,0,117.2,1.6003314830472153E-5,0,2.5967330339325066E-4
1.25,0,117.30000000000001,1.5895833189507557E-5,0,2.5792989543936144E-4
1.25,0,117.4,1.5789216369727976E-5,0,2.562005444588337E-4
1.25,0,117.5,1.5683464371133362E-5,0,2.5448525045166715E-4
1.25,0,117.60000000000001,1.557857719372372E-5,0,2.527840134178623E-4
1.25,0,117.7,1.547455483749905E-5,0,2.510968333574198E-4
1.25,0,117.80000000000001,1.537139730245938E-5,0,2.4942371027033785E-4
1.25,0,117.9,1.5269104588604676E-5,0,2.4776464415661757E-4
1.25,0,118,1.5167676695934968E-5,0,2.461196350162594E-4
1.25,0,118.10000000000001,1.5067113624450218E-5,0,2.4448868284926184E-4
1.25,0,118.2,1.4967415374150475E-5,0,2.4287178765562635E-4
1.25,0,118.30000000000001,1.4868581945035674E-5,0,2.4126894943535227E-4
1.25,0,118.4,1.4770613337105863E-5,0,2.3968016818843972E-4
1.25,0,118.5,1.4673509550361046E-5,0,2.3810544391488896E-4
1.25,0,118.60000000000001,1.45772705848012E-5,0,2.3654477661469927E-4
1.25,0,118.7,1.4481896440426333E-5,0,2.3499816628787167E-4
1.25,0,118.80000000000001,1.4387387117236431E-5,0,2.3346561293440492E-4
1.25,0,118.9,1.4293742615231539E-5,0,2.3194711655429988E-4
1.25,0,119,1.4200962934411612E-5,0,2.3044267714755686E-4
1.25,0,119.10000000000001,1.4109048074776653E-5,0,2.2895229471417463E-4
1.25,0,119.2,1.4017998036326693E-5,0,2.2747596925415444E-4
1.25,0,119.30000000000001,1.3927812819061687E-5,0,2.2601370076749582E-4
1.25,0,119.4,1.383849242298167E-5,0,2.2456548925419825E-4
