% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration","timeint(0,t,sourceFlux-sinkFlux)"
74.20537708987172,4.77339180392025E-4,0,0.008843704953355304,0.004224641414015809
75.20537708987172,4.517643856933561E-4,0,0.008382034634079008,0.0037602188461066137
76.20537708987172,4.2768056609842275E-4,0,0.007945038398440112,0.003320615880698418
77.20537708987172,4.049785390435411E-4,0,0.007531288662373903,0.0029043975051354864
78.20537708987172,3.83564082202474E-4,0,0.007139460605734165,0.002510229778354357
79.20537708987172,3.6334824726554375E-4,0,0.006768318783753235,0.002136869672193478
80.20537708987172,3.442472725498589E-4,0,0.006416711748349198,0.001783161751333653
81.20537708987172,3.261920732341968E-4,0,0.00608356474111763,0.0014480267916374507
82.20537708987172,3.091199548595346E-4,0,0.00576787091965909,0.0011304499028940815
83.20537708987172,2.929695239372994E-4,0,0.005468685241856299,8.294794976787662E-4
84.20537708987172,2.7768351176405337E-4,0,0.005185120195355028,5.442228957966934E-4
85.20537708987172,2.6321250122615165E-4,0,0.004916341081181375,2.73840979362294E-4
86.20537708987172,2.4951145723763887E-4,0,0.004661560957011221,1.7541256620898454E-5
87.20537708987172,2.3653564196462147E-4,0,0.004420037240032468,-2.2542373360518017E-4
88.20537708987172,2.2424338716422687E-4,0,0.00419107535015986,-4.5575786629632373E-4
89.20537708987172,2.1259763195721643E-4,0,0.0039740116240529755,-6.741259952566535E-4
90.20537708987172,2.015630835361002E-4,0,0.0037682186109066107,-8.811569611100409E-4
91.20537708987172,1.911061486153671E-4,0,0.0035731044978886154,-0.0010774448424730892
92.20537708987172,1.811954992569105E-4,0,0.003388110553327797,-0.0012635514387742295
93.20537708987172,1.7180163891806807E-4,0,0.0032127045635679864,-0.0014400081418166591
94.20537708987172,1.628971757839496E-4,0,0.003046388051830757,-0.0016073178810780526
95.20537708987172,1.5445621234272104E-4,0,0.0028886897591366024,-0.0017659570078782444
96.20537708987172,1.4645424658701377E-4,0,0.0027391621725006187,-0.0019163766283255305
97.20537708987172,1.38868170268182E-4,0,0.0025973807638061826,-0.0020590041033156778
98.20537708987172,1.3167611813477085E-4,0,0.002462942941905737,-0.0021942442932867626
99.20537708987172,1.2485739316892182E-4,0,0.0023354674138851934,-0.002322480769569764
100.20537708987172,1.1839242773979461E-4,0,0.002214592787522863,-0.0024440769843936455
101.20537708987172,1.1226277003315365E-4,0,0.0020999766905944583,-0.0025593773803684605
102.20537708987172,1.0645093509757446E-4,0,0.001991294520316609,-0.0026687084564017156
103.20537708987172,1.0094030628397096E-4,0,0.0018882386734393511,-0.002772379644734841
104.20537708987172,9.571518587144045E-5,0,0.0017905175376834409,-0.002870684224947579
105.20537708987172,9.076080460699329E-5,0,0.0016978547482553391,-0.0029639002520339976
106.20537708987172,8.606309420442812E-5,0,0.001609988245087984,-0.0030522913875894687
107.20537708987172,8.160861654555727E-5,0,0.0015266696117319637,-0.003136107511394242
108.20537708987172,7.738476687515695E-5,0,0.0014476633279246246,-0.0032155854806705624
109.20537708987172,7.337972010439418E-5,0,0.0013727461222384312,-0.0032909499725904783
