p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
1,0.25,95,1.9660217064215622E-13,0,3.668205759620405E-12
1,0.25,100,3.990770736656824E-14,0,7.46086485375114E-13
1,0.25,105,1.140679285267437E-14,0,2.1332996212724483E-13
1,0.25,110,2.905204584730634E-15,0,5.4344522307679134E-14
1,0.25,115,3.5043488827581493E-16,0,6.558003496022119E-15
1,0.25,120,-1.0673799364809197E-17,0,-1.9916754926724445E-16
1,0.25,125,-6.155702463910068E-18,0,-1.1518720170804347E-16
1,0.25,130,-2.6345295443644268E-18,0,-4.9295209053508293E-17
1,0.25,135,-1.6020522088733092E-18,0,-2.99756901880254E-17
1,0.25,140,-8.107086481648909E-19,0,-1.5168654278544052E-17
1,0.25,145,-4.291547999938906E-19,0,-8.029406113819015E-18
1,0.25,150,-2.827839752580883E-19,0,-5.290789418597858E-18
1,0.5,0,0,0,0
1,0.5,5,5.807164319251229E-10,2.80230143576927E-5,2.8947043181190793E-5
1,0.5,10,3.062385693710613E-8,0.004113780215981016,0.003103915554068257
1,0.5,15,1.171058275352914E-6,0.1866186883677999,0.19790406465109128
1,0.5,20,7.477521096231937E-5,0.006104053382933334,0.09466588929894805
1,0.5,25,4.0954234303133315E-4,4.1803896506466095E-5,0.009170525815783292
1,0.5,30,7.638532888014794E-5,7.551051709254534E-9,5.221577035942961E-4
1,0.5,35,2.103602720130641E-6,0,1.4457321675280094E-5
1,0.5,40,3.1617208898738305E-8,0,4.551505142748398E-7
1,0.5,45,2.50421081673862E-9,0,3.346613190337131E-8
1,0.5,50,7.073694309422991E-11,0,1.1968872496728866E-9
1,0.5,55,3.2649506349051224E-12,0,6.061951619731508E-11
1,0.5,60,1.7184268210876288E-13,0,3.227336312919685E-12
1,0.5,65,7.39369284750178E-15,0,1.382899485953922E-13
1,0.5,70,7.641629245851364E-16,0,1.4296056493351893E-14
1,0.5,75,1.3227492086564109E-16,0,2.474905487163983E-15
1,0.5,80,3.3198811647150125E-17,0,6.211748683984101E-16
1,0.5,85,8.226408966842258E-18,0,1.5392249051997068E-16
1,0.5,90,3.528957215869518E-18,0,6.602922763079409E-17
1,0.5,95,9.956327039566327E-19,0,1.862873572325975E-17
1,0.5,100,5.978301073400019E-19,0,1.1185604603637917E-17
1,0.5,105,2.6932016929546613E-19,0,5.038995771465767E-18
1,0.5,110,-5.918976874906912E-20,0,-1.1076130607063967E-18
1,0.5,115,3.751536716178765E-21,0,7.010883951006507E-20
1,0.5,120,7.939451345431678E-20,0,1.485488028594997E-18
1,0.5,125,1.5503749019245464E-19,0,2.9008672176799384E-18
1,0.5,130,9.338732739136263E-20,0,1.7473372341821265E-18
1,0.5,135,2.728232543631894E-20,0,5.104521959206732E-19
1,0.5,140,-3.882267651872471E-20,0,-7.264328423407849E-19
1,0.5,145,-1.7182450229196368E-20,0,-3.2151482921155473E-19
